Date,SalesRep,Product,Units,Price,Total Sales,City,Region,Day
15/1/2013,Drew  Rogers,Nestle Maxibon Cookie,3,203,609,Delhi,North,Tuesday
15/1/2013,Shari  Silva,Nestle Smarties Pop-Up,1,151,151,Mysore,South,Tuesday
15/1/2013,Elvira  Bowman,Nestle Rowntree Fruit Pastil,3,262,786,Srinagar,North,Tuesday
15/1/2013,Drew  Rogers,Nestle Kit Kat Cone,1,201,201,Delhi,North,Tuesday
15/1/2013,Rachel  Gomez,Nestle Fab,2,474,948,Delhi,North,Tuesday
16/1/2013,Drew  Rogers,Nestle Rowntree Fruit Pastil,2,406,812,Delhi,North,Wednesday
16/1/2013,Guillermo  Potter,Nestle Rolo Potz,2,236,472,Nainital,North,Wednesday
16/1/2013,Lula  Daniels,Nestle Milky Bar Stick,3,482,1446,Nainital,North,Wednesday
16/1/2013,Marion  Glover,Nestle Smarties Pop-Up,2,210,420,Durgapur,East,Wednesday
17/1/2013,Trevor  Jones,Nestle Maxibon Cookie,2,178,356,Pune,West,Thursday
17/1/2013,Max  Rodgers,Nestle Rowntree Fruit Pastil,3,180,540,Nagpur,West,Thursday
17/1/2013,Pauline  Beck,Nestle Aero Mint Potz,2,224,448,Pune,West,Thursday
17/1/2013,Marion  Glover,Nestle Nobbly Bobbly,1,203,203,Durgapur,East,Thursday
17/1/2013,Ernest  Davis,Nestle Aero Mint Potz,1,261,261,Mumbai,West,Thursday
17/1/2013,Johanna  Boone,Nestle Milky Bar Stick,1,415,415,Mysore,South,Thursday
17/1/2013,Salvador  Bass,Nestle Smarties Pop-Up,2,441,882,Goa,West,Thursday
17/1/2013,Herman  Williams,Nestle Rowntree Screamers,3,380,1140,Darjeeling,East,Thursday
18/1/2013,Shari  Silva,Nestle Kit Kat Cone,3,176,528,Mysore,South,Friday
18/1/2013,Robert  Munoz,Nestle Maxibon Cookie,2,414,828,Delhi,North,Friday
18/1/2013,Ellen  Weaver,Nestle Fab,3,395,1185,Hyderabad,South,Friday
18/1/2013,Bobbie  Ryan,Nestle Smarties Pop-Up,3,496,1488,Darjeeling,East,Friday
19/1/2013,Lance  Yates,Nestle Toffee Crumble,3,337,1011,Srinagar,North,Saturday
19/1/2013,Mable  Lindsey,Nestle Milky Bar Stick,3,398,1194,Ahmedabad,West,Saturday
20/1/2013,Ivan  Adkins,Nestle Aero Mint Potz,1,485,485,Mumbai,West,Sunday
20/1/2013,Christina  Fuller,Nestle Rowntree Fruit Pastil,3,285,855,Nagpur,West,Sunday
20/1/2013,Robert  Munoz,Nestle Toffee Crumble,21,418,8778,Delhi,North,Sunday
20/1/2013,Johanna  Boone,Nestle Smarties Pop-Up,2,130,260,Mysore,South,Sunday
20/1/2013,Cassandra  Franklin,Nestle Smarties Pop-Up,3,188,564,Delhi,North,Sunday
20/1/2013,Cecilia  Manning,Nestle Kit Kat Cone,12,157,1884,Trivandrum,South,Sunday
21/1/2013,Jenny  Garcia,Nestle Smarties Pop-Up,3,262,786,Shimla,North,Monday
21/1/2013,Jaime  Pearson,Nestle Milky Bar Stick,2,326,652,Jodhpur,North,Monday
21/1/2013,Rachel  Gomez,Nestle Milky Bar Stick,2,323,646,Delhi,North,Monday
21/1/2013,Ellen  Weaver,Nestle Smarties Pop-Up,3,191,573,Hyderabad,South,Monday
21/1/2013,Shari  Silva,Nestle Aero Mint Potz,1,265,265,Mysore,South,Monday
21/1/2013,Eric  Rose,Nestle Aero Mint Potz,3,414,1242,Mumbai,West,Monday
21/1/2013,Lula  Daniels,Nestle Milky Bar Stick,2,252,504,Nainital,North,Monday
21/1/2013,Salvador  Bass,Nestle Maxibon Cookie,1,243,243,Goa,West,Monday
22/1/2013,Elvira  Bowman,Nestle Aero Mint Potz,22,491,10802,Srinagar,North,Tuesday
22/1/2013,Mable  Lindsey,Nestle Maxibon Cookie,2,150,300,Ahmedabad,West,Tuesday
22/1/2013,Andrew  Meyer,Nestle Fab,1,264,264,Mumbai,West,Tuesday
22/1/2013,Lynette  Brewer,Nestle Toffee Crumble,19,136,2584,Varanasi,North,Tuesday
22/1/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,1,254,254,Mysore,South,Tuesday
22/1/2013,Edwin  Malone,Nestle Smarties Pop-Up,2,136,272,Kolkata,East,Tuesday
23/1/2013,Della  Jensen,Nestle Rowntree Fruit Pastil,2,450,900,Patna,East,Wednesday
23/1/2013,Blake  Bridges,Nestle Maxibon Cookie,2,439,878,Cochin,South,Wednesday
23/1/2013,Mable  Lindsey,Nestle Kit Kat Cone,23,140,3220,Ahmedabad,West,Wednesday
23/1/2013,Ernest  Davis,Nestle Aero Mint Potz,3,259,777,Mumbai,West,Wednesday
23/1/2013,Della  Jensen,Nestle Toffee Crumble,2,324,648,Patna,East,Wednesday
24/1/2013,Robert  Munoz,Nestle Toffee Crumble,2,374,748,Delhi,North,Thursday
24/1/2013,Cecilia  Manning,Nestle Rolo Potz,11,433,4763,Trivandrum,South,Thursday
24/1/2013,Salvador  Bass,Nestle Aero Mint Potz,3,377,1131,Goa,West,Thursday
25/1/2013,Cassandra  Franklin,Nestle Rowntree Fruit Pastil,2,308,616,Delhi,North,Friday
25/1/2013,Lee  Mack,Nestle Fab,1,199,199,Delhi,North,Friday
25/1/2013,Rachel  Gomez,Nestle Milky Bar Stick,3,464,1392,Delhi,North,Friday
25/1/2013,Shari  Silva,Nestle Maxibon Cookie,2,319,638,Mysore,South,Friday
26/1/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,2,465,930,Mysore,South,Saturday
26/1/2013,Robert  Munoz,Nestle Milky Bar Stick,2,182,364,Delhi,North,Saturday
26/1/2013,Ernest  Davis,Nestle Milky Bar Stick,1,401,401,Mumbai,West,Saturday
26/1/2013,Lee  Mack,Nestle Smarties Pop-Up,7,293,2051,Delhi,North,Saturday
26/1/2013,Rachel  Gomez,Nestle Kit Kat Cone,1,147,147,Delhi,North,Saturday
26/1/2013,Andrew  Meyer,Nestle Fab,20,136,2720,Mumbai,West,Saturday
27/1/2013,Isabel  Cross,Nestle Smarties Pop-Up,20,348,6960,Ranchi,East,Sunday
27/1/2013,Cindy  Becker,Nestle Fab,2,244,488,Bangalore,South,Sunday
27/1/2013,Felicia  Jennings,Nestle Milky Bar Stick,1,253,253,Pune,West,Sunday
27/1/2013,Della  Jensen,Nestle Aero Mint Potz,1,155,155,Patna,East,Sunday
28/1/2013,Bernadette  Page,Nestle Aero Mint Potz,2,100,200,Delhi,North,Monday
28/1/2013,Rachel  Gomez,Nestle Milky Bar Stick,1,319,319,Delhi,North,Monday
28/1/2013,Cecilia  Manning,Nestle Aero Mint Potz,3,284,852,Trivandrum,South,Monday
29/1/2013,Lee  Mack,Nestle Rowntree Fruit Pastil,1,167,167,Delhi,North,Tuesday
29/1/2013,Robert  Munoz,Nestle Rowntree Fruit Pastil,2,370,740,Delhi,North,Tuesday
29/1/2013,Lee  Mack,Nestle Rowntree Fruit Pastil,22,365,8030,Delhi,North,Tuesday
30/1/2013,Carla  Mccormick,Nestle Smarties Pop-Up,3,222,666,Varanasi,North,Wednesday
30/1/2013,Iris  Underwood,Nestle Milky Bar Stick,1,200,200,Pune,West,Wednesday
30/1/2013,Brooke  Horton,Nestle Smarties Pop-Up,3,429,1287,Nainital,North,Wednesday
31/1/2013,Edwin  Malone,Nestle Smarties Pop-Up,3,129,387,Kolkata,East,Thursday
31/1/2013,Johanna  Boone,Nestle Rowntree Fruit Pastil,2,355,710,Mysore,South,Thursday
31/1/2013,Cassandra  Franklin,Nestle Milky Bar Stick,2,168,336,Delhi,North,Thursday
31/1/2013,Guillermo  Potter,Nestle Milky Bar Stick,2,210,420,Nainital,North,Thursday
31/1/2013,Edwin  Malone,Nestle Fab,1,138,138,Kolkata,East,Thursday
31/1/2013,Joey  Wong,Nestle Smarties Pop-Up,3,493,1479,Goa,West,Thursday
1/2/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,1,160,160,Delhi,North,Friday
1/2/2013,Joey  Wong,Nestle Maxibon Cookie,2,151,302,Goa,West,Friday
1/2/2013,Trevor  Jones,Nestle Aero Mint Potz,3,383,1149,Pune,West,Friday
1/2/2013,Andrew  Meyer,Nestle Rowntree Screamers,3,187,561,Mumbai,West,Friday
1/2/2013,Drew  Rogers,Nestle Smarties Pop-Up,1,111,111,Delhi,North,Friday
1/2/2013,Max  Rodgers,Nestle Rowntree Fruit Pastil,1,114,114,Nagpur,West,Friday
1/2/2013,Mable  Lindsey,Nestle Milky Bar Stick,2,208,416,Ahmedabad,West,Friday
2/2/2013,Colleen  Warren,Nestle Smarties Pop-Up,1,288,288,Ahmedabad,West,Saturday
2/2/2013,Cassandra  Franklin,Nestle Milky Bar Stick,3,282,846,Delhi,North,Saturday
3/2/2013,Pauline  Beck,Nestle Rowntree Fruit Pastil,1,372,372,Pune,West,Sunday
3/2/2013,Joey  Wong,Nestle Kit Kat Cone,2,119,238,Goa,West,Sunday
3/2/2013,Trevor  Jones,Nestle Toffee Crumble,1,114,114,Pune,West,Sunday
3/2/2013,Cindy  Becker,Nestle Fab,1,367,367,Bangalore,South,Sunday
4/2/2013,Trevor  Jones,Nestle Aero Mint Potz,3,247,741,Pune,West,Monday
4/2/2013,Robert  Munoz,Nestle Rolo Potz,2,365,730,Delhi,North,Monday
4/2/2013,Max  Rodgers,Nestle Rowntree Screamers,1,410,410,Nagpur,West,Monday
5/2/2013,Bobbie  Ryan,Nestle Aero Mint Potz,3,163,489,Darjeeling,East,Tuesday
5/2/2013,Beth  Tucker,Nestle Kit Kat Cone,2,164,328,Pune,West,Tuesday
5/2/2013,Robert  Munoz,Nestle Nobbly Bobbly,2,278,556,Delhi,North,Tuesday
6/2/2013,Elvira  Bowman,Nestle Smarties Pop-Up,3,396,1188,Srinagar,North,Wednesday
6/2/2013,Brooke  Horton,Nestle Toffee Crumble,2,296,592,Nainital,North,Wednesday
6/2/2013,Salvador  Bass,Nestle Smarties Pop-Up,1,233,233,Goa,West,Wednesday
6/2/2013,Patty  Thompson,Nestle Rolo Potz,3,189,567,Mumbai,West,Wednesday
6/2/2013,Felicia  Jennings,Nestle Rolo Potz,1,118,118,Pune,West,Wednesday
6/2/2013,Edwin  Malone,Nestle Kit Kat Cone,1,426,426,Kolkata,East,Wednesday
6/2/2013,Iris  Underwood,Nestle Kit Kat Cone,3,435,1305,Pune,West,Wednesday
6/2/2013,Salvador  Bass,Nestle Fab,1,464,464,Goa,West,Wednesday
7/2/2013,Jaime  Pearson,Nestle Milky Bar Stick,1,337,337,Jodhpur,North,Thursday
7/2/2013,Arturo  Francis,Nestle Smarties Pop-Up,1,472,472,Ranchi,East,Thursday
7/2/2013,Shari  Silva,Nestle Fab,3,185,555,Mysore,South,Thursday
7/2/2013,Herman  Williams,Nestle Toffee Crumble,1,416,416,Darjeeling,East,Thursday
8/2/2013,Trevor  Jones,Nestle Smarties Pop-Up,1,396,396,Pune,West,Friday
8/2/2013,Eric  Rose,Nestle Fab,2,248,496,Mumbai,West,Friday
8/2/2013,Lula  Daniels,Nestle Toffee Crumble,12,217,2604,Nainital,North,Friday
8/2/2013,Fernando  Rowe,Nestle Rowntree Fruit Pastil,1,317,317,Ahmedabad,West,Friday
8/2/2013,Lorraine  Gibson,Nestle Toffee Crumble,3,362,1086,Kolkata,East,Friday
8/2/2013,Donna  Reid,Nestle Fab,2,137,274,Goa,West,Friday
8/2/2013,Rachel  Gomez,Nestle Rowntree Fruit Pastil,4,294,1176,Delhi,North,Friday
9/2/2013,Jaime  Pearson,Nestle Rowntree Screamers,2,146,292,Jodhpur,North,Saturday
9/2/2013,Donna  Reid,Nestle Rolo Potz,13,463,6019,Goa,West,Saturday
9/2/2013,Lynette  Brewer,Nestle Rowntree Fruit Pastil,2,464,928,Varanasi,North,Saturday
9/2/2013,Colleen  Warren,Nestle Milky Bar Stick,2,394,788,Ahmedabad,West,Saturday
9/2/2013,Robert  Munoz,Nestle Smarties Pop-Up,1,136,136,Delhi,North,Saturday
9/2/2013,Iris  Underwood,Nestle Rowntree Fruit Pastil,3,361,1083,Pune,West,Saturday
10/2/2013,Kyle  Carr,Nestle Nobbly Bobbly,3,217,651,Delhi,North,Sunday
10/2/2013,Robert  Munoz,Nestle Rowntree Screamers,2,286,572,Delhi,North,Sunday
11/2/2013,Arturo  Francis,Nestle Rolo Potz,3,132,396,Ranchi,East,Monday
11/2/2013,Mable  Lindsey,Nestle Aero Mint Potz,2,331,662,Ahmedabad,West,Monday
11/2/2013,Johanna  Boone,Nestle Aero Mint Potz,4,294,1176,Mysore,South,Monday
11/2/2013,Lula  Daniels,Nestle Toffee Crumble,18,163,2934,Nainital,North,Monday
11/2/2013,Tracy  Reed,Nestle Maxibon Cookie,3,487,1461,Agra,North,Monday
11/2/2013,Eddie  Green,Nestle Smarties Pop-Up,3,144,432,Durgapur,East,Monday
11/2/2013,Herman  Williams,Nestle Toffee Crumble,1,269,269,Darjeeling,East,Monday
11/2/2013,Guillermo  Potter,Nestle Rolo Potz,3,166,498,Nainital,North,Monday
11/2/2013,Ernest  Davis,Nestle Fab,4,469,1876,Mumbai,West,Monday
12/2/2013,Trevor  Jones,Nestle Rowntree Screamers,1,122,122,Pune,West,Tuesday
12/2/2013,Brooke  Horton,Nestle Smarties Pop-Up,4,140,560,Nainital,North,Tuesday
12/2/2013,Herman  Williams,Nestle Nobbly Bobbly,1,133,133,Darjeeling,East,Tuesday
13/2/2013,Eddie  Green,Nestle Fab,1,308,308,Durgapur,East,Wednesday
13/2/2013,Salvador  Bass,Nestle Aero Mint Potz,3,186,558,Goa,West,Wednesday
13/2/2013,Iris  Underwood,Nestle Fab,3,248,744,Pune,West,Wednesday
14/2/2013,Donna  Reid,Nestle Toffee Crumble,3,386,1158,Goa,West,Thursday
14/2/2013,Rachel  Gomez,Nestle Rowntree Screamers,1,269,269,Delhi,North,Thursday
14/2/2013,Bobbie  Ryan,Nestle Aero Mint Potz,1,470,470,Darjeeling,East,Thursday
14/2/2013,Eddie  Green,Nestle Milky Bar Stick,4,261,1044,Durgapur,East,Thursday
14/2/2013,Shari  Silva,Nestle Milky Bar Stick,3,197,591,Mysore,South,Thursday
15/2/2013,Lynette  Brewer,Nestle Nobbly Bobbly,2,433,866,Varanasi,North,Friday
15/2/2013,Pauline  Beck,Nestle Rowntree Fruit Pastil,3,437,1311,Pune,West,Friday
15/2/2013,Charlie  Wood,Nestle Fab,2,331,662,Agra,North,Friday
15/2/2013,Bethany  Pena,Nestle Maxibon Cookie,2,221,442,Nagpur,West,Friday
15/2/2013,Shari  Silva,Nestle Rolo Potz,2,362,724,Mysore,South,Friday
16/2/2013,Ernest  Davis,Nestle Smarties Pop-Up,2,364,728,Mumbai,West,Saturday
16/2/2013,Lance  Yates,Nestle Maxibon Cookie,3,391,1173,Srinagar,North,Saturday
16/2/2013,Jenny  Garcia,Nestle Kit Kat Cone,3,210,630,Shimla,North,Saturday
17/2/2013,Pauline  Beck,Nestle Aero Mint Potz,18,205,3690,Pune,West,Sunday
17/2/2013,Ellen  Weaver,Nestle Fab,2,365,730,Hyderabad,South,Sunday
17/2/2013,Austin  Reynolds,Nestle Aero Mint Potz,3,344,1032,Kolkata,East,Sunday
17/2/2013,Willie  Vega,Nestle Maxibon Cookie,3,145,435,Delhi,North,Sunday
17/2/2013,Salvador  Bass,Nestle Aero Mint Potz,3,109,327,Goa,West,Sunday
17/2/2013,Rachel  Gomez,Nestle Milky Bar Stick,13,293,3809,Delhi,North,Sunday
18/2/2013,Drew  Rogers,Nestle Nobbly Bobbly,4,467,1868,Delhi,North,Monday
18/2/2013,Guillermo  Potter,Nestle Aero Mint Potz,4,296,1184,Nainital,North,Monday
19/2/2013,Cassandra  Franklin,Nestle Toffee Crumble,4,390,1560,Delhi,North,Tuesday
19/2/2013,Cindy  Becker,Nestle Milky Bar Stick,17,410,6970,Bangalore,South,Tuesday
20/2/2013,Max  Rodgers,Nestle Fab,2,213,426,Nagpur,West,Wednesday
20/2/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,3,101,303,Mysore,South,Wednesday
20/2/2013,Robert  Munoz,Nestle Aero Mint Potz,3,101,303,Delhi,North,Wednesday
21/2/2013,Cassandra  Franklin,Nestle Rolo Potz,1,291,291,Delhi,North,Thursday
21/2/2013,Salvador  Bass,Nestle Smarties Pop-Up,2,347,694,Goa,West,Thursday
21/2/2013,Johanna  Boone,Nestle Maxibon Cookie,3,485,1455,Mysore,South,Thursday
21/2/2013,Eddie  Green,Nestle Milky Bar Stick,1,338,338,Durgapur,East,Thursday
21/2/2013,Woodrow  Colon,Nestle Nobbly Bobbly,3,141,423,Cochin,South,Thursday
22/2/2013,Iris  Underwood,Nestle Kit Kat Cone,16,474,7584,Pune,West,Friday
22/2/2013,Isabel  Cross,Nestle Rolo Potz,3,409,1227,Ranchi,East,Friday
22/2/2013,Max  Rodgers,Nestle Kit Kat Cone,1,453,453,Nagpur,West,Friday
22/2/2013,Charlie  Wood,Nestle Kit Kat Cone,13,354,4602,Agra,North,Friday
23/2/2013,Tiffany  May,Nestle Rowntree Screamers,3,253,759,Agra,North,Saturday
23/2/2013,Marian  Hill,Nestle Milky Bar Stick,1,301,301,Trivandrum,South,Saturday
23/2/2013,Isabel  Cross,Nestle Aero Mint Potz,3,409,1227,Ranchi,East,Saturday
23/2/2013,Salvador  Bass,Nestle Nobbly Bobbly,3,447,1341,Goa,West,Saturday
23/2/2013,Lula  Daniels,Nestle Fab,4,142,568,Nainital,North,Saturday
24/2/2013,Brooke  Horton,Nestle Rowntree Fruit Pastil,1,280,280,Nainital,North,Sunday
24/2/2013,Salvador  Bass,Nestle Rowntree Fruit Pastil,1,247,247,Goa,West,Sunday
24/2/2013,Felicia  Jennings,Nestle Aero Mint Potz,3,284,852,Pune,West,Sunday
24/2/2013,Elbert  Klein,Nestle Milky Bar Stick,2,401,802,Cochin,South,Sunday
24/2/2013,Cecilia  Manning,Nestle Toffee Crumble,3,365,1095,Trivandrum,South,Sunday
24/2/2013,Bobbie  Ryan,Nestle Rolo Potz,2,222,444,Darjeeling,East,Sunday
25/2/2013,Elvira  Bowman,Nestle Rowntree Fruit Pastil,3,440,1320,Srinagar,North,Monday
26/2/2013,Edwin  Malone,Nestle Maxibon Cookie,20,325,6500,Kolkata,East,Tuesday
26/2/2013,Jaime  Pearson,Nestle Kit Kat Cone,1,336,336,Jodhpur,North,Tuesday
26/2/2013,Shari  Silva,Nestle Nobbly Bobbly,2,236,472,Mysore,South,Tuesday
26/2/2013,Robert  Munoz,Nestle Fab,2,177,354,Delhi,North,Tuesday
26/2/2013,Johanna  Boone,Nestle Smarties Pop-Up,3,401,1203,Mysore,South,Tuesday
26/2/2013,Drew  Rogers,Nestle Rowntree Screamers,2,204,408,Delhi,North,Tuesday
26/2/2013,Tiffany  May,Nestle Smarties Pop-Up,1,413,413,Agra,North,Tuesday
27/2/2013,Willie  Vega,Nestle Fab,1,106,106,Delhi,North,Wednesday
27/2/2013,Robert  Munoz,Nestle Rowntree Fruit Pastil,2,121,242,Delhi,North,Wednesday
27/2/2013,Isabel  Cross,Nestle Fab,2,475,950,Ranchi,East,Wednesday
27/2/2013,Tiffany  May,Nestle Rowntree Screamers,3,438,1314,Agra,North,Wednesday
27/2/2013,Robert  Munoz,Nestle Toffee Crumble,2,317,634,Delhi,North,Wednesday
27/2/2013,Andrew  Meyer,Nestle Fab,2,159,318,Mumbai,West,Wednesday
28/2/2013,Donna  Reid,Nestle Fab,2,476,952,Goa,West,Thursday
28/2/2013,Jaime  Pearson,Nestle Smarties Pop-Up,2,410,820,Jodhpur,North,Thursday
28/2/2013,Kyle  Carr,Nestle Aero Mint Potz,3,407,1221,Delhi,North,Thursday
28/2/2013,Robert  Munoz,Nestle Toffee Crumble,24,491,11784,Delhi,North,Thursday
28/2/2013,Trevor  Jones,Nestle Kit Kat Cone,1,246,246,Pune,West,Thursday
28/2/2013,Johanna  Boone,Nestle Toffee Crumble,2,204,408,Mysore,South,Thursday
1/3/2013,Jenny  Garcia,Nestle Toffee Crumble,24,204,4896,Shimla,North,Friday
1/3/2013,Brooke  Horton,Nestle Smarties Pop-Up,1,355,355,Nainital,North,Friday
1/3/2013,Salvador  Bass,Nestle Toffee Crumble,2,421,842,Goa,West,Friday
1/3/2013,Kyle  Carr,Nestle Toffee Crumble,1,302,302,Delhi,North,Friday
1/3/2013,Della  Jensen,Nestle Kit Kat Cone,1,197,197,Patna,East,Friday
2/3/2013,Bethany  Pena,Nestle Aero Mint Potz,1,152,152,Nagpur,West,Saturday
2/3/2013,Marion  Glover,Nestle Rowntree Fruit Pastil,3,412,1236,Durgapur,East,Saturday
3/3/2013,Eric  Rose,Nestle Rowntree Fruit Pastil,2,137,274,Mumbai,West,Sunday
3/3/2013,Sonya  Mullins,Nestle Aero Mint Potz,2,479,958,Kolkata,East,Sunday
3/3/2013,Elaine  Ellis,Nestle Rolo Potz,2,291,582,Hyderabad,South,Sunday
3/3/2013,Elvira  Bowman,Nestle Smarties Pop-Up,4,252,1008,Srinagar,North,Sunday
